[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
NAME                                      VERSION                                   TYPE                           
@emnapi/runtime                           1.11.1                                    npm                            
@huggingface/jinja                        0.5.6                                     npm                            
@huggingface/tokenizers                   0.1.3                                     npm                            
@huggingface/transformers                 4.2.0                                     npm                            
@img/colour                               1.1.0                                     npm                            
@img/sharp-darwin-arm64                   0.34.5                                    npm                            
@img/sharp-darwin-x64                     0.34.5                                    npm                            
@img/sharp-libvips-darwin-arm64           1.2.4                                     npm                            
@img/sharp-libvips-darwin-x64             1.2.4                                     npm                            
@img/sharp-libvips-linux-arm              1.2.4                                     npm                            
@img/sharp-libvips-linux-arm64            1.2.4                                     npm                            
@img/sharp-libvips-linux-ppc64            1.2.4                                     npm                            
@img/sharp-libvips-linux-riscv64          1.2.4                                     npm                            
@img/sharp-libvips-linux-s390x            1.2.4                                     npm                            
@img/sharp-libvips-linux-x64              1.2.4                                     npm                            
@img/sharp-libvips-linuxmusl-arm64        1.2.4                                     npm                            
@img/sharp-libvips-linuxmusl-x64          1.2.4                                     npm                            
@img/sharp-linux-arm                      0.34.5                                    npm                            
@img/sharp-linux-arm64                    0.34.5                                    npm                            
@img/sharp-linux-ppc64                    0.34.5                                    npm                            
@img/sharp-linux-riscv64                  0.34.5                                    npm                            
@img/sharp-linux-s390x                    0.34.5                                    npm                            
@img/sharp-linux-x64                      0.34.5                                    npm                            
@img/sharp-linuxmusl-arm64                0.34.5                                    npm                            
@img/sharp-linuxmusl-x64                  0.34.5                                    npm                            
@img/sharp-wasm32                         0.34.5                                    npm                            
@img/sharp-win32-arm64                    0.34.5                                    npm                            
@img/sharp-win32-ia32                     0.34.5                                    npm                            
@img/sharp-win32-x64                      0.34.5                                    npm                            
@modernized/exifr                         8.0.1                                     npm                            
@picocss/pico                             2.1.1                                     npm                            
@protobufjs/aspromise                     1.1.2                                     npm                            
@protobufjs/base64                        1.1.2                                     npm                            
@protobufjs/codegen                       2.0.5                                     npm                            
@protobufjs/eventemitter                  1.1.1                                     npm                            
@protobufjs/fetch                         1.1.1                                     npm                            
@protobufjs/float                         1.0.2                                     npm                            
@protobufjs/path                          1.1.2                                     npm                            
@protobufjs/pool                          1.1.0                                     npm                            
@protobufjs/utf8                          1.1.2                                     npm                            
@saehrimnir/druidjs                       0.8.0                                     npm                            
@sentry-internal/browser-utils            10.54.0                                   npm                            
@sentry-internal/feedback                 10.54.0                                   npm                            
@sentry-internal/replay                   10.54.0                                   npm                            
@sentry-internal/replay-canvas            10.54.0                                   npm                            
@sentry/browser                           10.54.0                                   npm                            
@sentry/core                              10.54.0                                   npm                            
@types/node                               20.19.38                                  npm                            
actions/checkout                          v4.2.2                                    github-action  (+1 duplicate)  
actions/checkout                          v4.3.1                                    github-action                  
actions/configure-pages                   v5                                        github-action                  
actions/deploy-pages                      v4                                        github-action                  
actions/setup-node                        v4.4.0                                    github-action  (+1 duplicate)  
actions/upload-artifact                   HIDDEN_BY_MEGALINTER github-action                  
actions/upload-pages-artifact             v3                                        github-action                  
adm-zip                                   0.5.17                                    npm                            
boolean                                   3.2.0                                     npm                            
define-data-property                      1.1.4                                     npm                            
define-properties                         1.2.1                                     npm                            
detect-libc                               2.1.2                                     npm                            
detect-node                               2.1.0                                     npm                            
es-define-property                        1.0.1                                     npm                            
es-errors                                 1.3.0                                     npm                            
es6-error                                 4.1.1                                     npm                            
escape-string-regexp                      4.0.0                                     npm                            
flatbuffers                               25.9.23                                   npm                            
global-agent                              3.0.0                                     npm                            
globalthis                                1.0.4                                     npm                            
gopd                                      1.2.0                                     npm                            
guid-typescript                           1.0.9                                     npm                            
has-property-descriptors                  1.0.2                                     npm                            
json-stringify-safe                       5.0.1                                     npm                            
long                                      5.3.2                                     npm                            
matcher                                   3.0.0                                     npm                            
media-clusterer                           3.0.0                                     npm                            
object-keys                               1.1.1                                     npm                            
onnxruntime-common                        1.24.0-dev.20251116-b39e144322            npm                            
onnxruntime-common                        1.24.3                                    npm                            
onnxruntime-common                        1.26.0                                    npm                            
onnxruntime-node                          1.24.3                                    npm                            
onnxruntime-web                           1.26.0                                    npm                            
onnxruntime-web                           1.26.0-dev.20260416-b7804b056c            npm                            
oxsecurity/megalinter/flavors/javascript  v9.6.0                                    github-action                  
p-limit                                   7.3.0                                     npm                            
platform                                  1.3.6                                     npm                            
protobufjs                                7.6.5                                     npm                            
roarr                                     2.15.4                                    npm                            
semver                                    7.7.4                                     npm                            
semver-compare                            1.0.0                                     npm                            
serialize-error                           7.0.1                                     npm                            
sharp                                     0.34.5                                    npm                            
sprintf-js                                1.1.3                                     npm                            
stefanzweifel/git-auto-commit-action      v7.2.0                                    github-action                  
tslib                                     2.8.1                                     npm                            
type-fest                                 0.13.1                                    npm                            
undici-types                              6.21.0                                    npm                            
yocto-queue                               1.2.2                                     npm
